CAD System,Test Case,PMI Annotation,Annotation Type,Error Type,PMI Error
CAD B (2012),CTC 5, - | .005,Straightness,3 - Annotation geometry (semantic),FCF not associated with SG curve
CAD D (2012),CTC 5, - | .005,Straightness,3 - Annotation geometry (semantic),FCF not associated with SG curve
CAD A (2015),FTC 9, .375 ±.008 X 1.500 ±.012,Dimension - other,3 - Annotation geometry (semantic),DIM edge association is extraneous
CAD A (2015),FTC 9, .375 ±.008 X 1.500 ±.012,Dimension - other,5 - Annotation layout (graphic),Slot DIM defined as two separate DIMs
CAD B (2015),FTC 9, .375 ±.008 X 1.500 ±.012,Dimension - other,5 - Annotation layout (graphic),Slot DIM defined as two separate DIMs
CAD C (2015),FTC 9, .375 ±.008 X 1.500 ±.012,Dimension - other,5 - Annotation layout (graphic),Slot DIM defined as two separate DIMs
CAD D (2015),FTC 9, .375 ±.008 X 1.500 ±.012,Dimension - other,5 - Annotation layout (graphic),Slot DIM defined as two separate DIMs
CAD B (2015),FTC 6, (∅1.000),Dimension,9 - Annotation text (graphic),DIM has extraneous space
CAD B (2015),FTC 6, (∅1.000),Dimension,9 - Annotation text (graphic),DIM has extraneous space
CAD D (2015),FTC 8, (□1.100),Dimension,3 - Annotation geometry (semantic),DIM not associated with complete set of faces
CAD B (2015),FTC 8, (□1.100),Dimension,3 - Annotation geometry (semantic),DIM not associated with complete set of faces
CAD B (2015),FTC 8, (□1.100),Dimension,9 - Annotation text (graphic),DIM has extraneous space
CAD A (2015),FTC 6, (SR.500),Dimension,2 - Annotation parameters (semantic),DIM spherical radius defined with encoded text
CAD A (2015),FTC 6, (SR.500),Dimension,3 - Annotation geometry (semantic),DIM edge association is extraneous
CAD A (2015),FTC 6, (SR.500),Dimension,9 - Annotation text (graphic),DIM has extraneous space
CAD B (2015),FTC 6, (SR.500),Dimension,2 - Annotation parameters (semantic),DIM spherical radius defined with encoded text
CAD B (2015),FTC 6, (SR.500),Dimension,9 - Annotation text (graphic),DIM has extraneous space
CAD C (2015),FTC 6, (SR.500),Dimension,2 - Annotation parameters (semantic),DIM spherical radius defined with encoded text
CAD D (2015),FTC 6, (SR.500),Dimension,2 - Annotation parameters (semantic),DIM spherical radius defined with encoded text
CAD D (2012),CTC 5, [1.250],Dimension,1 - Annotation structure (semantic),DIM defined as part of DTS
CAD D (2012),CTC 5, [1.250],Dimension,1 - Annotation structure (semantic),DIM defined as part of DTS
CAD D (2012),CTC 5, [2.000],Dimension,1 - Annotation structure (semantic),DIM defined as part of DTS
CAD D (2012),CTC 5, [2.000],Dimension,1 - Annotation structure (semantic),DIM defined as part of DTS
CAD B (2015),FTC 8, // | .03(F)(T) | A,Parallelism,5 - Annotation layout (graphic),FCF modifiers reversed
